updated_at,year,month,day,from,to,value
31.12.2021 08:00:00,2019,1,,DE,DE,55.0
31.12.2021 08:00:00,2019,2,,DE,DE,30.0
31.12.2021 08:00:00,2019,3,,DE,DE,42.0
31.12.2021 08:00:00,2019,4,,DE,DE,70.0
31.12.2021 08:00:00,2019,5,,DE,DE,67.0
31.12.2021 08:00:00,2019,6,,DE,DE,73.0
31.12.2021 08:00:00,2019,7,,DE,DE,63.0
31.12.2021 08:00:00,2019,8,,DE,DE,59.0
31.12.2021 08:00:00,2019,9,,DE,DE,73.0
31.12.2021 08:00:00,2019,10,,DE,DE,64.0
31.12.2021 08:00:00,2019,11,,DE,DE,49.0
31.12.2021 08:00:00,2019,12,,DE,DE,61.0
31.12.2021 08:00:00,2019,1,,DE,AT,36.0
31.12.2021 08:00:00,2019,2,,DE,AT,11.0
31.12.2021 08:00:00,2019,3,,DE,AT,13.0
31.12.2021 08:00:00,2019,4,,DE,AT,26.0
31.12.2021 08:00:00,2019,5,,DE,AT,23.0
31.12.2021 08:00:00,2019,6,,DE,AT,22.0
31.12.2021 08:00:00,2019,7,,DE,AT,17.0
31.12.2021 08:00:00,2019,8,,DE,AT,22.0
31.12.2021 08:00:00,2019,9,,DE,AT,35.0
31.12.2021 08:00:00,2019,10,,DE,AT,22.0
31.12.2021 08:00:00,2019,11,,DE,AT,13.0
31.12.2021 08:00:00,2019,12,,DE,AT,15.0
31.12.2021 08:00:00,2019,1,,DE,FR,32.0
31.12.2021 08:00:00,2019,2,,DE,FR,12.0
31.12.2021 08:00:00,2019,3,,DE,FR,18.0
31.12.2021 08:00:00,2019,4,,DE,FR,30.0
31.12.2021 08:00:00,2019,5,,DE,FR,31.0
31.12.2021 08:00:00,2019,6,,DE,FR,34.0
31.12.2021 08:00:00,2019,7,,DE,FR,32.0
31.12.2021 08:00:00,2019,8,,DE,FR,25.0
31.12.2021 08:00:00,2019,9,,DE,FR,50.0
31.12.2021 08:00:00,2019,10,,DE,FR,36.0
31.12.2021 08:00:00,2019,11,,DE,FR,20.0
31.12.2021 08:00:00,2019,12,,DE,FR,22.0
31.12.2021 08:00:00,2019,1,,DE,NL,22.0
31.12.2021 08:00:00,2019,2,,DE,NL,6.0
31.12.2021 08:00:00,2019,3,,DE,NL,9.0
31.12.2021 08:00:00,2019,4,,DE,NL,21.0
31.12.2021 08:00:00,2019,5,,DE,NL,19.0
31.12.2021 08:00:00,2019,6,,DE,NL,24.0
31.12.2021 08:00:00,2019,7,,DE,NL,19.0
31.12.2021 08:00:00,2019,8,,DE,NL,16.0
31.12.2021 08:00:00,2019,9,,DE,NL,28.0
31.12.2021 08:00:00,2019,10,,DE,NL,22.0
31.12.2021 08:00:00,2019,11,,DE,NL,14.0
31.12.2021 08:00:00,2019,12,,DE,NL,22.0
31.12.2021 08:00:00,2019,1,,DE,CZ,22.0
31.12.2021 08:00:00,2019,2,,DE,CZ,6.0
31.12.2021 08:00:00,2019,3,,DE,CZ,8.0
31.12.2021 08:00:00,2019,4,,DE,CZ,16.0
31.12.2021 08:00:00,2019,5,,DE,CZ,21.0
31.12.2021 08:00:00,2019,6,,DE,CZ,18.0
31.12.2021 08:00:00,2019,7,,DE,CZ,18.0
31.12.2021 08:00:00,2019,8,,DE,CZ,19.0
31.12.2021 08:00:00,2019,9,,DE,CZ,28.0
31.12.2021 08:00:00,2019,10,,DE,CZ,20.0
31.12.2021 08:00:00,2019,11,,DE,CZ,12.0
31.12.2021 08:00:00,2019,12,,DE,CZ,12.0
31.12.2021 08:00:00,2019,1,,DE,CH,15.0
31.12.2021 08:00:00,2019,2,,DE,CH,5.0
31.12.2021 08:00:00,2019,3,,DE,CH,8.0
31.12.2021 08:00:00,2019,4,,DE,CH,16.0
31.12.2021 08:00:00,2019,5,,DE,CH,13.0
31.12.2021 08:00:00,2019,6,,DE,CH,13.0
31.12.2021 08:00:00,2019,7,,DE,CH,9.0
31.12.2021 08:00:00,2019,8,,DE,CH,9.0
31.12.2021 08:00:00,2019,9,,DE,CH,17.0
31.12.2021 08:00:00,2019,10,,DE,CH,11.0
31.12.2021 08:00:00,2019,11,,DE,CH,6.0
31.12.2021 08:00:00,2019,12,,DE,CH,6.0
31.12.2021 08:00:00,2019,1,,DE,PL,25.0
31.12.2021 08:00:00,2019,2,,DE,PL,6.0
31.12.2021 08:00:00,2019,3,,DE,PL,9.0
31.12.2021 08:00:00,2019,4,,DE,PL,18.0
31.12.2021 08:00:00,2019,5,,DE,PL,24.0
31.12.2021 08:00:00,2019,6,,DE,PL,19.0
31.12.2021 08:00:00,2019,7,,DE,PL,17.0
31.12.2021 08:00:00,2019,8,,DE,PL,22.0
31.12.2021 08:00:00,2019,9,,DE,PL,24.0
31.12.2021 08:00:00,2019,10,,DE,PL,17.0
31.12.2021 08:00:00,2019,11,,DE,PL,21.0
31.12.2021 08:00:00,2019,12,,DE,PL,20.0
31.12.2021 08:00:00,2019,1,,DE,IT,29.0
31.12.2021 08:00:00,2019,2,,DE,IT,8.0
31.12.2021 08:00:00,2019,3,,DE,IT,8.0
31.12.2021 08:00:00,2019,4,,DE,IT,16.0
31.12.2021 08:00:00,2019,5,,DE,IT,20.0
31.12.2021 08:00:00,2019,6,,DE,IT,23.0
31.12.2021 08:00:00,2019,7,,DE,IT,17.0
31.12.2021 08:00:00,2019,8,,DE,IT,19.0
31.12.2021 08:00:00,2019,9,,DE,IT,40.0
31.12.2021 08:00:00,2019,10,,DE,IT,26.0
31.12.2021 08:00:00,2019,11,,DE,IT,16.0
31.12.2021 08:00:00,2019,12,,DE,IT,15.0
31.12.2021 08:00:00,2019,1,,DE,BE,20.0
31.12.2021 08:00:00,2019,2,,DE,BE,6.0
31.12.2021 08:00:00,2019,3,,DE,BE,7.0
31.12.2021 08:00:00,2019,4,,DE,BE,19.0
31.12.2021 08:00:00,2019,5,,DE,BE,17.0
31.12.2021 08:00:00,2019,6,,DE,BE,22.0
31.12.2021 08:00:00,2019,7,,DE,BE,16.0
31.12.2021 08:00:00,2019,8,,DE,BE,15.0
31.12.2021 08:00:00,2019,9,,DE,BE,30.0
31.12.2021 08:00:00,2019,10,,DE,BE,21.0
31.12.2021 08:00:00,2019,11,,DE,BE,12.0
31.12.2021 08:00:00,2019,12,,DE,BE,22.0
31.12.2021 08:00:00,2019,1,,DE,ES,10.0
31.12.2021 08:00:00,2019,2,,DE,ES,4.0
31.12.2021 08:00:00,2019,3,,DE,ES,5.0
31.12.2021 08:00:00,2019,4,,DE,ES,6.0
31.12.2021 08:00:00,2019,5,,DE,ES,7.0
31.12.2021 08:00:00,2019,6,,DE,ES,8.0
31.12.2021 08:00:00,2019,7,,DE,ES,14.0
31.12.2021 08:00:00,2019,8,,DE,ES,15.0
31.12.2021 08:00:00,2019,9,,DE,ES,35.0
31.12.2021 08:00:00,2019,10,,DE,ES,19.0
31.12.2021 08:00:00,2019,11,,DE,ES,7.0
31.12.2021 08:00:00,2019,12,,DE,ES,7.0
31.12.2021 08:00:00,2019,1,,AT,DE,40.0
31.12.2021 08:00:00,2019,2,,AT,DE,25.0
31.12.2021 08:00:00,2019,3,,AT,DE,26.0
31.12.2021 08:00:00,2019,4,,AT,DE,46.0
31.12.2021 08:00:00,2019,5,,AT,DE,43.0
31.12.2021 08:00:00,2019,6,,AT,DE,52.0
31.12.2021 08:00:00,2019,7,,AT,DE,49.0
31.12.2021 08:00:00,2019,8,,AT,DE,32.0
31.12.2021 08:00:00,2019,9,,AT,DE,47.0
31.12.2021 08:00:00,2019,10,,AT,DE,45.0
31.12.2021 08:00:00,2019,11,,AT,DE,29.0
31.12.2021 08:00:00,2019,12,,AT,DE,37.0
31.12.2021 08:00:00,2019,1,,AT,AT,39.0
31.12.2021 08:00:00,2019,2,,AT,AT,24.0
31.12.2021 08:00:00,2019,3,,AT,AT,34.0
31.12.2021 08:00:00,2019,4,,AT,AT,50.0
31.12.2021 08:00:00,2019,5,,AT,AT,49.0
31.12.2021 08:00:00,2019,6,,AT,AT,58.0
31.12.2021 08:00:00,2019,7,,AT,AT,48.0
31.12.2021 08:00:00,2019,8,,AT,AT,41.0
31.12.2021 08:00:00,2019,9,,AT,AT,51.0
31.12.2021 08:00:00,2019,10,,AT,AT,47.0
31.12.2021 08:00:00,2019,11,,AT,AT,34.0
31.12.2021 08:00:00,2019,12,,AT,AT,36.0
31.12.2021 08:00:00,2019,1,,AT,FR,31.0
31.12.2021 08:00:00,2019,2,,AT,FR,20.0
31.12.2021 08:00:00,2019,3,,AT,FR,20.0
31.12.2021 08:00:00,2019,4,,AT,FR,32.0
31.12.2021 08:00:00,2019,5,,AT,FR,25.0
31.12.2021 08:00:00,2019,6,,AT,FR,34.0
31.12.2021 08:00:00,2019,7,,AT,FR,35.0
31.12.2021 08:00:00,2019,8,,AT,FR,21.0
31.12.2021 08:00:00,2019,9,,AT,FR,38.0
31.12.2021 08:00:00,2019,10,,AT,FR,36.0
31.12.2021 08:00:00,2019,11,,AT,FR,26.0
31.12.2021 08:00:00,2019,12,,AT,FR,24.0
31.12.2021 08:00:00,2019,1,,AT,NL,5.0
31.12.2021 08:00:00,2019,2,,AT,NL,2.0
31.12.2021 08:00:00,2019,3,,AT,NL,2.0
31.12.2021 08:00:00,2019,4,,AT,NL,7.0
31.12.2021 08:00:00,2019,5,,AT,NL,5.0
31.12.2021 08:00:00,2019,6,,AT,NL,9.0
31.12.2021 08:00:00,2019,7,,AT,NL,10.0
31.12.2021 08:00:00,2019,8,,AT,NL,4.0
31.12.2021 08:00:00,2019,9,,AT,NL,8.0
31.12.2021 08:00:00,2019,10,,AT,NL,7.0
31.12.2021 08:00:00,2019,11,,AT,NL,5.0
31.12.2021 08:00:00,2019,12,,AT,NL,7.0
31.12.2021 08:00:00,2019,1,,AT,CZ,29.0
31.12.2021 08:00:00,2019,2,,AT,CZ,18.0
31.12.2021 08:00:00,2019,3,,AT,CZ,18.0
31.12.2021 08:00:00,2019,4,,AT,CZ,32.0
31.12.2021 08:00:00,2019,5,,AT,CZ,38.0
31.12.2021 08:00:00,2019,6,,AT,CZ,40.0
31.12.2021 08:00:00,2019,7,,AT,CZ,39.0
31.12.2021 08:00:00,2019,8,,AT,CZ,28.0
31.12.2021 08:00:00,2019,9,,AT,CZ,36.0
31.12.2021 08:00:00,2019,10,,AT,CZ,31.0
31.12.2021 08:00:00,2019,11,,AT,CZ,24.0
31.12.2021 08:00:00,2019,12,,AT,CZ,22.0
31.12.2021 08:00:00,2019,1,,AT,CH,17.0
31.12.2021 08:00:00,2019,2,,AT,CH,8.0
31.12.2021 08:00:00,2019,3,,AT,CH,11.0
31.12.2021 08:00:00,2019,4,,AT,CH,22.0
31.12.2021 08:00:00,2019,5,,AT,CH,16.0
31.12.2021 08:00:00,2019,6,,AT,CH,21.0
31.12.2021 08:00:00,2019,7,,AT,CH,16.0
31.12.2021 08:00:00,2019,8,,AT,CH,12.0
31.12.2021 08:00:00,2019,9,,AT,CH,25.0
31.12.2021 08:00:00,2019,10,,AT,CH,21.0
31.12.2021 08:00:00,2019,11,,AT,CH,13.0
31.12.2021 08:00:00,2019,12,,AT,CH,12.0
31.12.2021 08:00:00,2019,1,,AT,PL,24.0
31.12.2021 08:00:00,2019,2,,AT,PL,9.0
31.12.2021 08:00:00,2019,3,,AT,PL,10.0
31.12.2021 08:00:00,2019,4,,AT,PL,17.0
31.12.2021 08:00:00,2019,5,,AT,PL,21.0
31.12.2021 08:00:00,2019,6,,AT,PL,23.0
31.12.2021 08:00:00,2019,7,,AT,PL,24.0
31.12.2021 08:00:00,2019,8,,AT,PL,21.0
31.12.2021 08:00:00,2019,9,,AT,PL,18.0
31.12.2021 08:00:00,2019,10,,AT,PL,18.0
31.12.2021 08:00:00,2019,11,,AT,PL,18.0
31.12.2021 08:00:00,2019,12,,AT,PL,19.0
31.12.2021 08:00:00,2019,1,,AT,IT,38.0
31.12.2021 08:00:00,2019,2,,AT,IT,15.0
31.12.2021 08:00:00,2019,3,,AT,IT,11.0
31.12.2021 08:00:00,2019,4,,AT,IT,26.0
31.12.2021 08:00:00,2019,5,,AT,IT,34.0
31.12.2021 08:00:00,2019,6,,AT,IT,46.0
31.12.2021 08:00:00,2019,7,,AT,IT,42.0
31.12.2021 08:00:00,2019,8,,AT,IT,32.0
31.12.2021 08:00:00,2019,9,,AT,IT,65.0
31.12.2021 08:00:00,2019,10,,AT,IT,59.0
31.12.2021 08:00:00,2019,11,,AT,IT,46.0
31.12.2021 08:00:00,2019,12,,AT,IT,41.0
31.12.2021 08:00:00,2019,1,,AT,BE,5.0
31.12.2021 08:00:00,2019,2,,AT,BE,2.0
31.12.2021 08:00:00,2019,3,,AT,BE,3.0
31.12.2021 08:00:00,2019,4,,AT,BE,8.0
31.12.2021 08:00:00,2019,5,,AT,BE,5.0
31.12.2021 08:00:00,2019,6,,AT,BE,9.0
31.12.2021 08:00:00,2019,7,,AT,BE,8.0
31.12.2021 08:00:00,2019,8,,AT,BE,4.0
31.12.2021 08:00:00,2019,9,,AT,BE,6.0
31.12.2021 08:00:00,2019,10,,AT,BE,7.0
31.12.2021 08:00:00,2019,11,,AT,BE,4.0
31.12.2021 08:00:00,2019,12,,AT,BE,6.0
31.12.2021 08:00:00,2019,1,,AT,ES,8.0
31.12.2021 08:00:00,2019,2,,AT,ES,3.0
31.12.2021 08:00:00,2019,3,,AT,ES,3.0
31.12.2021 08:00:00,2019,4,,AT,ES,6.0
31.12.2021 08:00:00,2019,5,,AT,ES,6.0
31.12.2021 08:00:00,2019,6,,AT,ES,9.0
31.12.2021 08:00:00,2019,7,,AT,ES,16.0
31.12.2021 08:00:00,2019,8,,AT,ES,7.0
31.12.2021 08:00:00,2019,9,,AT,ES,25.0
31.12.2021 08:00:00,2019,10,,AT,ES,23.0
31.12.2021 08:00:00,2019,11,,AT,ES,9.0
31.12.2021 08:00:00,2019,12,,AT,ES,8.0
31.12.2021 08:00:00,2019,1,,FR,DE,45.0
31.12.2021 08:00:00,2019,2,,FR,DE,17.0
31.12.2021 08:00:00,2019,3,,FR,DE,24.0
31.12.2021 08:00:00,2019,4,,FR,DE,30.0
31.12.2021 08:00:00,2019,5,,FR,DE,39.0
31.12.2021 08:00:00,2019,6,,FR,DE,31.0
31.12.2021 08:00:00,2019,7,,FR,DE,22.0
31.12.2021 08:00:00,2019,8,,FR,DE,25.0
31.12.2021 08:00:00,2019,9,,FR,DE,22.0
31.12.2021 08:00:00,2019,10,,FR,DE,19.0
31.12.2021 08:00:00,2019,11,,FR,DE,27.0
31.12.2021 08:00:00,2019,12,,FR,DE,27.0
31.12.2021 08:00:00,2019,1,,FR,AT,11.0
31.12.2021 08:00:00,2019,2,,FR,AT,3.0
31.12.2021 08:00:00,2019,3,,FR,AT,5.0
31.12.2021 08:00:00,2019,4,,FR,AT,5.0
31.12.2021 08:00:00,2019,5,,FR,AT,6.0
31.12.2021 08:00:00,2019,6,,FR,AT,5.0
31.12.2021 08:00:00,2019,7,,FR,AT,3.0
31.12.2021 08:00:00,2019,8,,FR,AT,4.0
31.12.2021 08:00:00,2019,9,,FR,AT,4.0
31.12.2021 08:00:00,2019,10,,FR,AT,3.0
31.12.2021 08:00:00,2019,11,,FR,AT,4.0
31.12.2021 08:00:00,2019,12,,FR,AT,4.0
31.12.2021 08:00:00,2019,1,,FR,FR,63.0
31.12.2021 08:00:00,2019,2,,FR,FR,47.0
31.12.2021 08:00:00,2019,3,,FR,FR,57.0
31.12.2021 08:00:00,2019,4,,FR,FR,63.0
31.12.2021 08:00:00,2019,5,,FR,FR,74.0
31.12.2021 08:00:00,2019,6,,FR,FR,73.0
31.12.2021 08:00:00,2019,7,,FR,FR,74.0
31.12.2021 08:00:00,2019,8,,FR,FR,68.0
31.12.2021 08:00:00,2019,9,,FR,FR,71.0
31.12.2021 08:00:00,2019,10,,FR,FR,62.0
31.12.2021 08:00:00,2019,11,,FR,FR,68.0
31.12.2021 08:00:00,2019,12,,FR,FR,60.0
31.12.2021 08:00:00,2019,1,,FR,NL,19.0
31.12.2021 08:00:00,2019,2,,FR,NL,5.0
31.12.2021 08:00:00,2019,3,,FR,NL,7.0
31.12.2021 08:00:00,2019,4,,FR,NL,10.0
31.12.2021 08:00:00,2019,5,,FR,NL,14.0
31.12.2021 08:00:00,2019,6,,FR,NL,12.0
31.12.2021 08:00:00,2019,7,,FR,NL,8.0
31.12.2021 08:00:00,2019,8,,FR,NL,10.0
31.12.2021 08:00:00,2019,9,,FR,NL,7.0
31.12.2021 08:00:00,2019,10,,FR,NL,7.0
31.12.2021 08:00:00,2019,11,,FR,NL,11.0
31.12.2021 08:00:00,2019,12,,FR,NL,14.0
31.12.2021 08:00:00,2019,1,,FR,CZ,10.0
31.12.2021 08:00:00,2019,2,,FR,CZ,4.0
31.12.2021 08:00:00,2019,3,,FR,CZ,6.0
31.12.2021 08:00:00,2019,4,,FR,CZ,7.0
31.12.2021 08:00:00,2019,5,,FR,CZ,9.0
31.12.2021 08:00:00,2019,6,,FR,CZ,6.0
31.12.2021 08:00:00,2019,7,,FR,CZ,4.0
31.12.2021 08:00:00,2019,8,,FR,CZ,5.0
31.12.2021 08:00:00,2019,9,,FR,CZ,5.0
31.12.2021 08:00:00,2019,10,,FR,CZ,4.0
31.12.2021 08:00:00,2019,11,,FR,CZ,5.0
31.12.2021 08:00:00,2019,12,,FR,CZ,5.0
31.12.2021 08:15:00,2019,1,,FR,CH,14.0
31.12.2021 08:15:00,2019,2,,FR,CH,5.0
31.12.2021 08:15:00,2019,3,,FR,CH,9.0
31.12.2021 08:15:00,2019,4,,FR,CH,9.0
31.12.2021 08:15:00,2019,5,,FR,CH,11.0
31.12.2021 08:15:00,2019,6,,FR,CH,10.0
31.12.2021 08:15:00,2019,7,,FR,CH,6.0
31.12.2021 08:15:00,2019,8,,FR,CH,7.0
31.12.2021 08:15:00,2019,9,,FR,CH,6.0
31.12.2021 08:15:00,2019,10,,FR,CH,4.0
31.12.2021 08:15:00,2019,11,,FR,CH,7.0
31.12.2021 08:15:00,2019,12,,FR,CH,4.0
31.12.2021 08:15:00,2019,1,,FR,PL,20.0
31.12.2021 08:15:00,2019,2,,FR,PL,9.0
31.12.2021 08:15:00,2019,3,,FR,PL,15.0
31.12.2021 08:15:00,2019,4,,FR,PL,13.0
31.12.2021 08:15:00,2019,5,,FR,PL,15.0
31.12.2021 08:15:00,2019,6,,FR,PL,13.0
31.12.2021 08:15:00,2019,7,,FR,PL,12.0
31.12.2021 08:15:00,2019,8,,FR,PL,13.0
31.12.2021 08:15:00,2019,9,,FR,PL,10.0
31.12.2021 08:15:00,2019,10,,FR,PL,10.0
31.12.2021 08:15:00,2019,11,,FR,PL,16.0
31.12.2021 08:15:00,2019,12,,FR,PL,10.0
31.12.2021 08:15:00,2019,1,,FR,IT,36.0
31.12.2021 08:15:00,2019,2,,FR,IT,12.0
31.12.2021 08:15:00,2019,3,,FR,IT,13.0
31.12.2021 08:15:00,2019,4,,FR,IT,13.0
31.12.2021 08:15:00,2019,5,,FR,IT,21.0
31.12.2021 08:15:00,2019,6,,FR,IT,18.0
31.12.2021 08:15:00,2019,7,,FR,IT,13.0
31.12.2021 08:15:00,2019,8,,FR,IT,20.0
31.12.2021 08:15:00,2019,9,,FR,IT,24.0
31.12.2021 08:15:00,2019,10,,FR,IT,17.0
31.12.2021 08:15:00,2019,11,,FR,IT,19.0
31.12.2021 08:15:00,2019,12,,FR,IT,17.0
31.12.2021 08:15:00,2019,1,,FR,BE,21.0
31.12.2021 08:15:00,2019,2,,FR,BE,7.0
31.12.2021 08:15:00,2019,3,,FR,BE,10.0
31.12.2021 08:15:00,2019,4,,FR,BE,12.0
31.12.2021 08:15:00,2019,5,,FR,BE,19.0
31.12.2021 08:15:00,2019,6,,FR,BE,19.0
31.12.2021 08:15:00,2019,7,,FR,BE,11.0
31.12.2021 08:15:00,2019,8,,FR,BE,11.0
31.12.2021 08:15:00,2019,9,,FR,BE,11.0
31.12.2021 08:15:00,2019,10,,FR,BE,9.0
31.12.2021 08:15:00,2019,11,,FR,BE,14.0
31.12.2021 08:15:00,2019,12,,FR,BE,15.0
31.12.2021 08:15:00,2019,1,,FR,ES,16.0
31.12.2021 08:15:00,2019,2,,FR,ES,5.0
31.12.2021 08:15:00,2019,3,,FR,ES,8.0
31.12.2021 08:15:00,2019,4,,FR,ES,8.0
31.12.2021 08:15:00,2019,5,,FR,ES,10.0
31.12.2021 08:15:00,2019,6,,FR,ES,10.0
31.12.2021 08:15:00,2019,7,,FR,ES,17.0
31.12.2021 08:15:00,2019,8,,FR,ES,22.0
31.12.2021 08:15:00,2019,9,,FR,ES,38.0
31.12.2021 08:15:00,2019,10,,FR,ES,30.0
31.12.2021 08:15:00,2019,11,,FR,ES,17.0
31.12.2021 08:15:00,2019,12,,FR,ES,13.0
31.12.2021 08:15:00,2019,1,,NL,DE,61.0
31.12.2021 08:15:00,2019,2,,NL,DE,27.0
31.12.2021 08:15:00,2019,3,,NL,DE,45.0
31.12.2021 08:15:00,2019,4,,NL,DE,70.0
31.12.2021 08:15:00,2019,5,,NL,DE,67.0
31.12.2021 08:15:00,2019,6,,NL,DE,56.0
31.12.2021 08:15:00,2019,7,,NL,DE,47.0
31.12.2021 08:15:00,2019,8,,NL,DE,50.0
31.12.2021 08:15:00,2019,9,,NL,DE,70.0
31.12.2021 08:15:00,2019,10,,NL,DE,54.0
31.12.2021 08:15:00,2019,11,,NL,DE,45.0
31.12.2021 08:15:00,2019,12,,NL,DE,52.0
31.12.2021 08:15:00,2019,1,,NL,AT,30.0
31.12.2021 08:15:00,2019,2,,NL,AT,7.0
